content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tokens,clean_text,polarity_clean,sentiment_clean
update teroz ngalah2in mbankingnya bca,1,0.0,0.0,Negative,"['teroz', 'ngalah', 'in', 'mbankingnya', 'bca']",in,0.0,Neutral
"untuk belanja off line memuaskan, karena barang lengkap dan fresh tapi pengalaman belanja online agak mengecewakan karena pesan dari pagi, sore baru diantar.",2,0.3,0.5,Negative,"['belanja', 'off', 'line', 'muas', 'barang', 'lengkap', 'fresh', 'alam', 'belanja', 'online', 'kecewa', 'pesan', 'pagi', 'sore', 'antar']",off line muas lengkap fresh alam online kecewa pesan pagi sore antar,0.3,Positive
"Notifikasi ganggu, dan jelek suara notifnya mending saya nonaktifin aja",1,0.0,0.0,Negative,"['notifikasi', 'ganggu', 'jelek', 'suara', 'notifnya', 'mending', 'nonaktifin']",notifikasi ganggu jelek suara notifnya mending,0.0,Neutral
mantap hemat kuat dan cepat,5,0.0,0.0,Positive,"['mantap', 'hemat', 'kuat', 'cepat']",mantap hemat cepat,0.0,Neutral
sudah diupgrade tapi gak bisa dibuka,4,0.0,0.0,Positive,"['diupgrade', 'buka']",diupgrade,0.0,Neutral
aplikasi nya eror mulu,1,0.0,0.0,Negative,"['eror', 'mulu']",eror mulu,0.0,Neutral
bagus,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
baik,5,0.0,0.0,Positive,[],,0.0,Neutral
keren,5,0.0,0.0,Positive,['keren'],keren,0.0,Neutral
belanja kebutuhan sehari hari pasti lebih murah dan lebih untung pakai this aplikasi my Super indo apalagi saat Ramadhan dan Lebaran dan acara kumoul kumpul dan Natal dan Tahun Baru serta keagamaan lainnya pastinya lebih murah disini aja dimana sih ya di My Super Indo recomended aplikasi and tray this aplikasi good price kk,5,0.45555555555555555,0.6444444444444445,Positive,"['belanja', 'butuh', 'hari', 'murah', 'untung', 'pakai', 'this', 'my', 'super', 'indo', 'ramadhan', 'lebaran', 'acara', 'kumoul', 'kumpul', 'natal', 'agama', 'pasti', 'murah', 'mana', 'my', 'super', 'indo', 'recomended', 'and', 'tray', 'this', 'good', 'price', 'kk']",butuh hari murah untung pakai this my indo ramadhan acara kumpul pasti murah mana my indo recomended and this good price kk,0.7,Positive
"informatif dan memudahkan kalau mau belanja tapi belum sempet, tinggal klik klik belanjaan sampe rumah. atauuu bisa juga buat cek cek diskonan kalo pas mau belanja bund biar budgeting lebih aman hehehe. goodjob superindoo👍🏻",5,0.0,0.0,Positive,"['informatif', 'mudah', 'belanja', 'sempet', 'tinggal', 'klik', 'klik', 'belanja', 'sampe', 'rumah', 'atauuu', 'cek', 'cek', 'diskon', 'pas', 'belanja', 'bund', 'biar', 'budgeting', 'aman', 'hehehe', 'goodjob', 'superindoo']",informatif mudah sempet tinggal klik klik sampe rumah cek cek diskon pas biar budgeting aman hehehe goodjob superindoo,0.0,Neutral
bagus,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
Belanja di Superindo nyaman pool gais,5,0.0,0.0,Positive,"['belanja', 'nyaman', 'pool', 'gais']",nyaman gais,0.0,Neutral
lengkap,5,0.0,0.0,Positive,['lengkap'],lengkap,0.0,Neutral
bisa dapet diskon belanja. dapet info barang2 promo,5,0.0,0.0,Positive,"['dapet', 'diskon', 'belanja', 'dapet', 'info', 'barang', 'promo']",dapet diskon dapet info,0.0,Neutral
kenapa aplikasi sering error,4,0.0,0.0,Positive,['error'],error,0.0,Neutral
belanja disuperindo lengkap dan nyaman t4 nya,5,0.0,0.0,Positive,"['belanja', 'disuperindo', 'lengkap', 'nyaman', 't']",disuperindo lengkap nyaman t,0.0,Neutral
sangat membantu cek promo,5,0.0,0.0,Positive,"['bantu', 'cek', 'promo']",bantu cek,0.0,Neutral
"aplikasi sering pembaruan ,semakin lemot",2,0.0,0.0,Negative,"['baru', 'lot']",baru lot,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
informatif,5,0.0,0.0,Positive,['informatif'],informatif,0.0,Neutral
Hanya untuk tau informasi yg lagi diskon sama buat scan barcode aja,4,0.0,0.0,Positive,"['tau', 'informasi', 'diskon', 'scan', 'barcode']",tau informasi diskon scan barcode,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
sangat meyenskan dan barang selalu fres,5,0.0,0.0,Positive,"['meyenskan', 'barang', 'fres']",fres,0.0,Neutral
suka jadi tau banyak promo,5,0.0,0.0,Positive,"['suka', 'tau', 'promo']",suka tau,0.0,Neutral
"memudahkan biar tau ada promo apa aja.cuma syang ada superindo yg d kejaksan kasir judes,dan dah 2x kya gtu tdny mau antri d kasir sblh d suruh pindah k dia pas giliran dah k dia eh malah d suruh pindah lagi k sblh ktny eror hrsny d cek dulu ya.ga kaya superindo kesambi enak ramah2.krna sya blnja tuh sering bngt...",4,0.0,0.0,Positive,"['mudah', 'biar', 'tau', 'promo', 'syang', 'd', 'kejaksan', 'kasir', 'judes', 'dah', 'x', 'kya', 'gtu', 'tdny', 'antri', 'd', 'kasir', 'sblh', 'd', 'suruh', 'pindah', 'k', 'pas', 'gilir', 'dah', 'k', 'eh', 'd', 'suruh', 'pindah', 'k', 'sblh', 'ktny', 'eror', 'hrsny', 'd', 'cek', 'kaya', 'kesambi', 'enak', 'ramah', 'krna', 'sya', 'blnja', 'tuh', 'bngt']",mudah biar tau d kasir judes dah x kya gtu antri d kasir sblh d suruh pindah k pas gilir dah k eh d suruh pindah k sblh eror d cek kaya kesambi enak ramah krna sya blnja tuh bngt,0.0,Neutral
mantab,5,0.0,0.0,Positive,['mantab'],mantab,0.0,Neutral
baik,5,0.0,0.0,Positive,[],,0.0,Neutral
sangat membantu,5,0.0,0.0,Positive,['bantu'],bantu,0.0,Neutral
kurang banyak catalog promo'a,4,0.0,0.0,Positive,"['catalog', 'promo', 'a']",catalog a,0.0,Neutral
memuskan,5,0.0,0.0,Positive,['mus'],mus,0.0,Neutral
Good Service,5,0.7,0.6000000000000001,Positive,"['good', 'service']",good service,0.7,Positive
senang belanja di Superindo karna harga bersaing dan mendapatkan poin berhadiah menarik,5,0.0,0.0,Positive,"['senang', 'belanja', 'karna', 'harga', 'saing', 'poin', 'hadiah', 'tarik']",senang karna saing poin hadiah tarik,0.0,Neutral
kurang lengkap daftar barangnya,4,0.0,0.0,Positive,"['lengkap', 'daftar', 'barang']",lengkap daftar,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
good..,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
disebagian toko mbak dan mas nya ramah ada sebagian yg kurang ramah sebenernya asik belanja di superindo,4,0.0,0.0,Positive,"['bagi', 'toko', 'mbak', 'mas', 'ramah', 'ramah', 'sebenernya', 'asik', 'belanja']",bagi toko mbak mas ramah ramah sebenernya asik,0.0,Neutral
"Lebih dekat , lebih mudah harga lumayan murah 🙏",5,0.0,0.0,Positive,"['mudah', 'harga', 'lumayan', 'murah']",mudah lumayan murah,0.0,Neutral
selalu puas belanja di sini.,5,0.0,0.0,Positive,"['puas', 'belanja']",puas,0.0,Neutral
senang belanja di My Super Indo karyawannya ramah2&baik2,5,0.3333333333333333,0.6666666666666666,Positive,"['senang', 'belanja', 'my', 'super', 'indo', 'karyawannya', 'ramah']",senang my indo karyawannya ramah,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
Info diskon terupdate,5,0.0,0.0,Positive,"['info', 'diskon', 'terupdate']",info diskon terupdate,0.0,Neutral
good job,5,0.7,0.6000000000000001,Positive,"['good', 'job']",good job,0.7,Positive
kenapa selalu minta update?,1,0.0,0.0,Negative,[],,0.0,Neutral
"Belanja mudah, karyawan ramah, barang super hemat.",5,0.3333333333333333,0.6666666666666666,Positive,"['belanja', 'mudah', 'karyawan', 'ramah', 'barang', 'super', 'hemat']",mudah karyawan ramah hemat,0.0,Neutral
Barang lengkap dan belanja nyaman,5,0.0,0.0,Positive,"['barang', 'lengkap', 'belanja', 'nyaman']",lengkap nyaman,0.0,Neutral
kereen,5,0.0,0.0,Positive,['kereen'],kereen,0.0,Neutral
harga promo selalu menggoda untuk segera ke Superindo🤗,5,0.0,0.0,Positive,"['harga', 'promo', 'goda']",goda,0.0,Neutral
layanan pengaduan konsumen nya engga ada. chatnya engga bisa dipake. tidak ada nomor kontak untuk pengaduan keluhan konsumen,1,0.0,0.0,Negative,"['layan', 'adu', 'konsumen', 'engga', 'chatnya', 'engga', 'dipake', 'nomor', 'kontak', 'adu', 'keluh', 'konsumen']",adu konsumen engga chatnya engga dipake nomor kontak adu keluh konsumen,0.0,Neutral
"Paling favorit belanja disini, nyaman, pelayanan ramah, lumayan lengkap, berkualitas dan sering diskon.",5,0.0,0.0,Positive,"['favorit', 'belanja', 'nyaman', 'layan', 'ramah', 'lumayan', 'lengkap', 'kualitas', 'diskon']",favorit nyaman ramah lumayan lengkap kualitas diskon,0.0,Neutral
baik,4,0.0,0.0,Positive,[],,0.0,Neutral
di update malah makin ndak bisa di buka ini gimana ya?,3,0.0,0.0,Neutral,"['ndak', 'buka', 'gimana']",ndak gimana,0.0,Neutral
"tempat belanja yg menyenangkan bersih,lengkap dan banyak promo menarik",5,0.0,0.0,Positive,"['belanja', 'senang', 'bersih', 'lengkap', 'promo', 'tarik']",senang bersih lengkap tarik,0.0,Neutral
"nyaman, ramah dan murah bersih",5,0.0,0.0,Positive,"['nyaman', 'ramah', 'murah', 'bersih']",nyaman ramah murah bersih,0.0,Neutral
sangat puas berbelanja di sini,5,0.0,0.0,Positive,"['puas', 'belanja']",puas,0.0,Neutral
oke siip,5,0.0,0.0,Positive,"['oke', 'siip']",oke siip,0.0,Neutral
good,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
bagus untuk info,5,0.0,0.0,Positive,"['bagus', 'info']",info,0.0,Neutral
sangat membantu bagi ibu2 yg tdk bisa keluar rmh Krn ada bayi,5,0.0,0.0,Positive,"['bantu', 'rmh', 'bayi']",bantu rmh bayi,0.0,Neutral
pegawainya ramah semua... soal harga masih terjangkau,5,0.0,0.0,Positive,"['pegawai', 'ramah', 'harga', 'jangkau']",pegawai ramah jangkau,0.0,Neutral
untuk wilayah bogor semua okee.. tp knp untuk digital sticker ny hrs di riset yaaa pdhal kan simpen sj,5,0.0,0.0,Positive,"['wilayah', 'bogor', 'okee', 'knp', 'digital', 'sticker', 'ny', 'hrs', 'riset', 'yaaa', 'pdhal', 'simpen', 'sj']",wilayah bogor okee knp digital sticker ny hrs riset yaaa pdhal sj,0.0,Neutral
ini kenapa di update malah gabisa ke buka,2,0.0,0.0,Negative,"['gabisa', 'buka']",gabisa,0.0,Neutral
Menyenangkan,5,0.0,0.0,Positive,['senang'],senang,0.0,Neutral
Pelayanan memuaskan👍,5,0.0,0.0,Positive,"['layan', 'muas']",muas,0.0,Neutral
good aplikasi,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
"Gak bisa digunakan utk pengantaran, selalu error tiap milih opsi pengantaran (grab/gosend) mohon diperbaiki 🙏🏻",5,0.0,0.0,Positive,"['antar', 'error', 'milih', 'opsi', 'antar', 'grab', 'gosend', 'mohon', 'baik']",antar error milih opsi antar grab gosend mohon baik,0.0,Neutral
"brengsek, ini belanjaan beli pagi dateng sore kelaperan gua, praktis apaan gada praktisnya",1,0.0,0.0,Negative,"['brengsek', 'belanja', 'beli', 'pagi', 'dateng', 'sore', 'kelaperan', 'gua', 'praktis', 'gada', 'praktis']",brengsek beli pagi dateng sore gua praktis gada praktis,0.0,Neutral
"kenapa ya harus bolak balik update, saya baru update tgl 1 Maret, skrg sudah minta update lagi ..",3,0.0,0.0,Neutral,"['bolak', 'tgl', 'maret', 'skrg']",bolak tgl maret skrg,0.0,Neutral
"superindo cabang citra raya,cikupa kabupaten tangerang,spv nya yg kecil,tua pake kacamata itu bener"" tidak sopan terhadap customer,mentang"" saya pake promo shopepay slalu ga boleh nuker lebih dri 2 kadang malah cuma boleh 1 padahal harusnya maks 1hari itu 3 voucher tpi kenyataan nya slalu di persulit dan parah nya kondisi toko sepi pun haru antri 1voucher 1kasirr padahal sya jg sama"" belanja pake duit",1,0.0,0.0,Negative,"['cabang', 'citra', 'raya', 'cikupa', 'kabupaten', 'tangerang', 'spv', 'tua', 'pake', 'kacamata', 'bener', 'sopan', 'customer', 'mentang', 'pake', 'promo', 'shopepay', 'slalu', 'nuker', 'dri', 'kadang', 'maks', 'voucher', 'tpi', 'nyata', 'slalu', 'sulit', 'parah', 'kondisi', 'toko', 'sepi', 'haru', 'antri', 'voucher', 'kasirr', 'sya', 'belanja', 'pake', 'duit']",cabang citra raya tua pake bener sopan customer mentang pake shopepay slalu nuker dri kadang maks voucher tpi nyata slalu sulit parah kondisi toko sepi haru antri voucher sya pake duit,0.0,Neutral
harga promo brosur sama di aplikasi beda.. bikin kesel ihhh..,3,0.0,0.0,Neutral,"['harga', 'promo', 'brosur', 'beda', 'bikin', 'kesel', 'ihhh']",brosur beda bikin kesel,0.0,Neutral
tidak bisa di buka min,1,0.0,0.0,Negative,"['buka', 'min']",min,0.0,Neutral
"kalo ga bisa optimalin online ga usah ada online beli online sampai ga ada barangnya terus lama bgt, ga praktis!",2,0.0,0.0,Negative,"['optimalin', 'online', 'online', 'beli', 'online', 'barang', 'banget', 'praktis']",online online beli online praktis,0.0,Neutral
"pelayanan buruk, customer service jelek, saya pesan dari jam 7, sampai jam 9 tidak ada konfirmasi sudah diproses apa belum. tidak usah pakai aplikasi ini",1,0.0,0.0,Negative,"['layan', 'buruk', 'customer', 'service', 'jelek', 'pesan', 'jam', 'jam', 'konfirmasi', 'proses', 'pakai']",buruk customer service jelek pesan jam jam konfirmasi proses pakai,0.0,Neutral
Good..,3,0.7,0.6000000000000001,Neutral,['good'],good,0.7,Positive
puas belanja dsini dng harga yg murah,5,0.0,0.0,Positive,"['puas', 'belanja', 'dsini', 'dng', 'harga', 'murah']",puas dng murah,0.0,Neutral
"bintang 1 dulu lah, tiap belanja lewat apk pasti ada aja barang yg main dicancel apalagi yg promoan sama petugasnya, pas dicek padahal stocknya ada kalo stock abis harus nya sinkron sih yah sama apk, masa di apk stock banyak, tapi pas beli dicancel mulu, apa karna harga nya promo ? atau kalau mau dibeli sama anak toko, harusnya transaksi kan dulu dong jangan malah di keep doang",1,0.16666666666666666,0.3333333333333333,Negative,"['bintang', 'belanja', 'apk', 'barang', 'main', 'dicancel', 'promoan', 'tugas', 'pas', 'cek', 'stocknya', 'stock', 'abis', 'sinkron', 'yah', 'apk', 'apk', 'stock', 'pas', 'beli', 'dicancel', 'mulu', 'karna', 'harga', 'promo', 'beli', 'anak', 'toko', 'transaksi', 'keep', 'doang']",bintang apk main dicancel promoan tugas pas cek stocknya stock abis sinkron yah apk apk stock pas beli dicancel mulu karna beli anak toko transaksi keep doang,0.16666666666666666,Positive
notifikasinya sangat mengganggu,1,0.0,0.0,Negative,"['notifikasi', 'ganggu']",notifikasi ganggu,0.0,Neutral
"dengan menjadi member, tentunya bisa mendapatkan berbagai promo",4,0.0,0.0,Positive,"['member', 'promo']",member,0.0,Neutral
mantul,5,0.0,0.0,Positive,['mantul'],mantul,0.0,Neutral
mayan Promonya 😁,5,0.0,0.0,Positive,"['mayan', 'promonya']",mayan promonya,0.0,Neutral
"mohon sediakan fitur chat sebagai penghubung antara customer dan cabang, sehingga ketika terjadi overload atau kendala lain, pihak cabang dapat memberikan konfirmasi ke customer. tambah kan juga fitur cancel order, agar ketika customer ingin membatalkan pesanan dapat mudah dilakukan. pengalaman menggunakan aplikasi ini cukup mengecewakan karena cabang sedang overload namun tidak ada konfirmasi apapun. rating akan diperbaiki jika fitur tersebut telah tersedia",1,0.0,0.0,Negative,"['mohon', 'sedia', 'fitur', 'chat', 'hubung', 'customer', 'cabang', 'overload', 'kendala', 'cabang', 'konfirmasi', 'customer', 'fitur', 'cancel', 'order', 'customer', 'batal', 'pesan', 'mudah', 'alam', 'kecewa', 'cabang', 'overload', 'konfirmasi', 'apa', 'rating', 'baik', 'fitur', 'sedia']",mohon sedia fitur chat hubung customer cabang overload kendala cabang konfirmasi customer fitur cancel order customer batal pesan mudah alam kecewa cabang overload konfirmasi apa rating baik fitur sedia,0.0,Neutral
untuk ongkir nya kemahalan blm bisa kaya a**a dan i*n******ma*t gk bisa di semua outlet juga,5,0.0,0.0,Positive,"['ongkir', 'mahal', 'kaya', 'a', 'a', 'i', 'n', 'ma', 't', 'outlet']",ongkir mahal kaya a a i n ma t outlet,0.0,Neutral
"gimana sih, waktu pesan antar ada brang nya tiba-tiba di refund. sekarang waktu pengembalian dana dipersulit, kecewa",1,0.0,0.0,Negative,"['gimana', 'pesan', 'brang', 'refund', 'kembali', 'dana', 'sulit', 'kecewa']",gimana pesan refund kembali dana sulit kecewa,0.0,Neutral
"suka belanja di superindo krn lengkap daging,ikan rresh,ap lagi buah²nya super lengkap.security sm pegawai nya jg ramah² ...pertahankan/tingkatkan",5,0.3333333333333333,0.6666666666666666,Positive,"['suka', 'belanja', 'lengkap', 'daging', 'ikan', 'rresh', 'ap', 'buah', 'super', 'lengkap', 'security', 'sm', 'pegawai', 'ramah', 'tahan', 'tingkat']",suka lengkap daging ikan ap buah lengkap security sm pegawai ramah tahan tingkat,0.0,Neutral
dari minggu lalu aplikasinya tidak bisa di buka,1,0.0,0.0,Negative,"['minggu', 'aplikasi', 'buka']",minggu aplikasi,0.0,Neutral
"Pengiriman & proses ordernya lelet banget, gak kaya alfagift atau klik indomaret.. payah layanan customer handlingnya juga PARAH BANGET. Boro2 solusi, feedback pun gak ada!!!",1,0.0,0.0,Negative,"['kirim', 'proses', 'order', 'lelet', 'banget', 'kaya', 'alfagift', 'klik', 'indomaret', 'payah', 'layan', 'customer', 'handlingnya', 'parah', 'banget', 'boro', 'solusi', 'feedback']",kirim proses order lelet kaya alfagift klik indomaret payah customer parah boro solusi feedback,0.0,Neutral
"mau kasih saran ya.. bagaimana kalau ditambahkan fitur chat ke toko. jadi misal sudah checkout order, kita bisa chat ke tokonya di aplikasi. maaf seperti aplikasi alfagift.. bisa chat ke tokonya langsung. semoga saran saya bisa menjadi masukan untuk superindo. terima kasih",4,0.0,0.0,Positive,"['kasih', 'saran', 'fitur', 'chat', 'toko', 'checkout', 'order', 'chat', 'toko', 'maaf', 'alfagift', 'chat', 'toko', 'langsung', 'moga', 'saran', 'masuk', 'terima', 'kasih']",kasih saran fitur chat toko checkout order chat toko maaf alfagift chat toko langsung moga saran masuk terima kasih,0.0,Neutral
"saya suka belanja d superindo ubertos,belanja lbh hemat dan lengkap dan pelayanannya baik , securitynya cepat tanggap dlm membantu custamer..sukses slalu buat superindo",5,0.0,0.0,Positive,"['suka', 'belanja', 'd', 'ubertos', 'belanja', 'lbh', 'hemat', 'lengkap', 'layan', 'securitynya', 'cepat', 'tanggap', 'dlm', 'bantu', 'custamer', 'sukses', 'slalu']",suka d lbh hemat lengkap cepat tanggap dlm bantu custamer sukses slalu,0.0,Neutral
apk lemot,1,0.0,0.0,Negative,"['apk', 'lot']",apk lot,0.0,Neutral
Maaf sekali ini harus segera di evaluasi ... niat nya pakai aplikasi agar tidak antri ... ini malah antri sampe 1jammm lebihhh .. sampe toko jam 5sorean.. sampe hampir jam stgh 7 juga belum kelar,1,0.0,0.0,Negative,"['maaf', 'evaluasi', 'niat', 'pakai', 'antri', 'antri', 'sampe', 'jammm', 'lebihhh', 'sampe', 'toko', 'jam', 'sore', 'sampe', 'jam', 'stgh', 'kelar']",maaf evaluasi niat pakai antri antri sampe sampe toko jam sore sampe jam kelar,0.0,Neutral
God application,5,0.0,0.0,Positive,"['god', 'application']",god application,0.0,Neutral
tolong app-nya di benerin sering eror akhir akhir ini kalau buka app muncul sambungan internet terputus / cari toko terdekat malah ga mau muncul,4,0.0,0.0,Positive,"['tolong', 'benerin', 'eror', 'buka', 'muncul', 'sambung', 'internet', 'putus', 'cari', 'toko', 'dekat', 'muncul']",tolong benerin eror muncul sambung internet putus cari toko dekat muncul,0.0,Neutral
"ini aplikasi gmn si , saya tiap belanja selalu ditanya member dan memberikan no hp ,tp kenapa sticker tidak pernah masuk di aplikasi member ???",1,0.0,0.0,Negative,"['gmn', 'si', 'belanja', 'member', 'no', 'hp', 'sticker', 'masuk', 'member']",gmn si member no hp sticker masuk member,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
belanja online lewat app superindo sangat tidak direkomendasi. 1. jika beli 1 kg yg diambilkan hanya 900 gr lebih sedikit bahkan tidak sampai 950gr. 2. di kasih note tidak akan dibaca!!! contoh: pilihkan yang besar isi sedikit tidak apa². yang datang kecil² banyak. terlalu kecil sampai tidak ada air dan dagingnya sedikit. 3. pesan pagi dikirim sore. 4. pembayaran sering gagal di app . sangat disayangkan berharap mendapat kemudahan dan praktis tapi dapatnya zonk . sangat mengecewakan.,2,0.0,0.0,Negative,"['belanja', 'online', 'rekomendasi', 'beli', 'kg', 'ambil', 'gr', 'gr', 'kasih', 'note', 'baca', 'contoh', 'pilih', 'isi', 'air', 'daging', 'pesan', 'pagi', 'kirim', 'sore', 'bayar', 'gagal', 'sayang', 'harap', 'mudah', 'praktis', 'dapat', 'zonk', 'kecewa']",online rekomendasi beli kg ambil gr gr kasih note baca contoh pilih isi air daging pesan pagi kirim sore bayar gagal sayang harap mudah praktis dapat zonk kecewa,0.0,Neutral
"sdh di-update,, dibuka msh jg g bisa g tau tiba² gt,,knp yaa??? jd g bisa update harga",5,0.0,0.0,Positive,"['buka', 'g', 'g', 'tau', 'gt', 'knp', 'yaa', 'g', 'harga']",g g tau gt knp yaa g,0.0,Neutral
