content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,uppercaseCharCount,specialCharCount
"superindo cabang citra raya,cikupa kabupaten tangerang,spv nya yg kecil,tua pake kacamata itu bener"" tidak sopan terhadap customer,mentang"" saya pake promo shopepay slalu ga boleh nuker lebih dri 2 kadang malah cuma boleh 1 padahal harusnya maks 1hari itu 3 voucher tpi kenyataan nya slalu di persulit dan parah nya kondisi toko sepi pun haru antri 1voucher 1kasirr padahal sya jg sama"" belanja pake duit",1,0.0,0.0,Negative,64,0,7
harga promo brosur sama di aplikasi beda.. bikin kesel ihhh..,3,0.0,0.0,Neutral,10,0,4
tidak bisa di buka min,1,0.0,0.0,Negative,5,0,0
"kalo ga bisa optimalin online ga usah ada online beli online sampai ga ada barangnya terus lama bgt, ga praktis!",2,0.0,0.0,Negative,20,0,2
"pelayanan buruk, customer service jelek, saya pesan dari jam 7, sampai jam 9 tidak ada konfirmasi sudah diproses apa belum. tidak usah pakai aplikasi ini",1,0.0,0.0,Negative,25,0,4
Good..,3,0.7,0.6000000000000001,Neutral,1,1,2
puas belanja dsini dng harga yg murah,5,0.0,0.0,Positive,7,0,0
"bintang 1 dulu lah, tiap belanja lewat apk pasti ada aja barang yg main dicancel apalagi yg promoan sama petugasnya, pas dicek padahal stocknya ada kalo stock abis harus nya sinkron sih yah sama apk, masa di apk stock banyak, tapi pas beli dicancel mulu, apa karna harga nya promo ? atau kalau mau dibeli sama anak toko, harusnya transaksi kan dulu dong jangan malah di keep doang",1,0.16666666666666666,0.3333333333333333,Negative,68,0,7
notifikasinya sangat mengganggu,1,0.0,0.0,Negative,3,0,0
"dengan menjadi member, tentunya bisa mendapatkan berbagai promo",4,0.0,0.0,Positive,8,0,1
mantul,5,0.0,0.0,Positive,1,0,0
mayan Promonya 😁,5,0.0,0.0,Positive,3,1,0
"mohon sediakan fitur chat sebagai penghubung antara customer dan cabang, sehingga ketika terjadi overload atau kendala lain, pihak cabang dapat memberikan konfirmasi ke customer. tambah kan juga fitur cancel order, agar ketika customer ingin membatalkan pesanan dapat mudah dilakukan. pengalaman menggunakan aplikasi ini cukup mengecewakan karena cabang sedang overload namun tidak ada konfirmasi apapun. rating akan diperbaiki jika fitur tersebut telah tersedia",1,0.0,0.0,Negative,62,0,6
untuk ongkir nya kemahalan blm bisa kaya a**a dan i*n******ma*t gk bisa di semua outlet juga,5,0.0,0.0,Positive,16,0,10
"gimana sih, waktu pesan antar ada brang nya tiba-tiba di refund. sekarang waktu pengembalian dana dipersulit, kecewa",1,0.0,0.0,Negative,17,0,4
"suka belanja di superindo krn lengkap daging,ikan rresh,ap lagi buah²nya super lengkap.security sm pegawai nya jg ramah² ...pertahankan/tingkatkan",5,0.3333333333333333,0.6666666666666666,Positive,18,0,7
dari minggu lalu aplikasinya tidak bisa di buka,1,0.0,0.0,Negative,8,0,0
"Pengiriman & proses ordernya lelet banget, gak kaya alfagift atau klik indomaret.. payah layanan customer handlingnya juga PARAH BANGET. Boro2 solusi, feedback pun gak ada!!!",1,0.0,0.0,Negative,25,13,9
"mau kasih saran ya.. bagaimana kalau ditambahkan fitur chat ke toko. jadi misal sudah checkout order, kita bisa chat ke tokonya di aplikasi. maaf seperti aplikasi alfagift.. bisa chat ke tokonya langsung. semoga saran saya bisa menjadi masukan untuk superindo. terima kasih",4,0.0,0.0,Positive,42,0,9
"saya suka belanja d superindo ubertos,belanja lbh hemat dan lengkap dan pelayanannya baik , securitynya cepat tanggap dlm membantu custamer..sukses slalu buat superindo",5,0.0,0.0,Positive,23,0,4
apk lemot,1,0.0,0.0,Negative,2,0,0
Maaf sekali ini harus segera di evaluasi ... niat nya pakai aplikasi agar tidak antri ... ini malah antri sampe 1jammm lebihhh .. sampe toko jam 5sorean.. sampe hampir jam stgh 7 juga belum kelar,1,0.0,0.0,Negative,35,1,10
God application,5,0.0,0.0,Positive,2,1,0
tolong app-nya di benerin sering eror akhir akhir ini kalau buka app muncul sambungan internet terputus / cari toko terdekat malah ga mau muncul,4,0.0,0.0,Positive,24,0,2
"ini aplikasi gmn si , saya tiap belanja selalu ditanya member dan memberikan no hp ,tp kenapa sticker tidak pernah masuk di aplikasi member ???",1,0.0,0.0,Negative,25,0,5
ok,5,0.5,0.5,Positive,1,0,0
belanja online lewat app superindo sangat tidak direkomendasi. 1. jika beli 1 kg yg diambilkan hanya 900 gr lebih sedikit bahkan tidak sampai 950gr. 2. di kasih note tidak akan dibaca!!! contoh: pilihkan yang besar isi sedikit tidak apa². yang datang kecil² banyak. terlalu kecil sampai tidak ada air dan dagingnya sedikit. 3. pesan pagi dikirim sore. 4. pembayaran sering gagal di app . sangat disayangkan berharap mendapat kemudahan dan praktis tapi dapatnya zonk . sangat mengecewakan.,2,0.0,0.0,Negative,77,0,17
"sdh di-update,, dibuka msh jg g bisa g tau tiba² gt,,knp yaa??? jd g bisa update harga",5,0.0,0.0,Positive,17,0,8
"Tolong bisa update dan improve lebih bagus lagi, sekelas Indomaret/Alfamart aja di aplikasinya sudah ada self service atau pickup service. Ini tolong sekelas retail besar kayak Superindo bisa ikut kasih pilihan customer untuk pickup barangnya. jadi kami gak buang waktu untuk keliling store dulu dan datang bisa tinggal ambil barangnya aja, pelayannya tolong lebih ditingkatkan ya.",1,0.0,0.0,Negative,56,5,6
senang bersama My Super Indo terimah kasih,3,0.3333333333333333,0.6666666666666666,Neutral,7,3,0
banyak promo,5,0.0,0.0,Positive,2,0,0
"abis diupdate, launch appnya makin lama 😩",3,0.0,0.0,Neutral,7,0,1
"tempat belanja favorit, murah Deket rumah",5,0.0,0.0,Positive,6,1,1
di Adain sistem pembayaran cod nya ya admin kadang saldo kosong adanya uang cash terimakasih,5,0.0,0.0,Positive,15,1,0
"ini kenapa dah superindo, diupdate malah ga bisa dibuka, ga jelas bangettt",1,0.0,0.0,Negative,12,0,2
bagus,5,0.0,0.0,Positive,1,0,0
selalu nunggu promo setiap bulan yg 50% ..jgn bnyak update apl kurangin iklannya menggagngu,4,0.0,0.0,Positive,14,0,3
aplikasi apa Aan ini gak bisa dipake,1,0.0,0.0,Negative,7,1,0
🌟🌟🌟🌟🌟,5,0.0,0.0,Positive,1,0,0
aneh apknya. gak banget tiap cari produk yang mau di beli ga ada semua,1,0.0,0.0,Negative,14,0,1
ini aplikasinya kenapa ya? klik menu ga muncul produknya. padahal mau beli lewat online tapi ga muncul produknya,1,0.0,0.0,Negative,18,0,2
"sedih dehhh, knp stiap udh pilih product step berikutnya tggl pilih pengiriman,, sllu muncul tulisan muat data.. udh sebulan ini bgitu truus 🥹 tolong dibantu biar memudahkan yg ingin DO",3,0.0,0.0,Neutral,30,2,5
kok ga bisa dibuka ya?,5,0.0,0.0,Positive,5,0,1
ngapain aplikasinya dibikin sih kalo gabisa pesen cepet scr online? nunggunya harus ber jam jam loh.,1,0.0,0.0,Negative,16,0,2
seru,5,0.0,0.0,Positive,1,0,0
"apa di kota malang tidak bisa belanja online ya? karena setiap mau ke halaman pembayaran selalu gagal, dan notifnya city not supported",2,0.0,0.0,Negative,22,0,2
"kejadian berawal saat sy hendak mengambil belanjaan di SUPERINDO UJUNG ASPAL Bekasi,sy minta tolong sama security yg bernama pak sudra untuk mengangkat belanjaan berdua bersama sy karena berat tapi dijawabtdk mau,,,lalu saya jawab sy batalkan dan dijawab oleh security tsb batalkan saja dengan sombongnya,,,akhirnya sy minta tlg security yg lain langsung dibantu untuk mengangkat belanjaan tsb...sy mohon dengan sangat kepada management Superindo untuk membina security yg sombong layak seorang owner",1,0.0,0.0,Negative,70,21,10
ribet masuk akunnya susah,2,0.0,0.0,Negative,4,0,0
sekelas supeindo.aplikasinya jelek banget.muter2 lama kalo d buka.udah bisa masuk Mlah keluar sendiri.payah,1,0.0,0.0,Negative,13,1,4
"giliran udh bikin akun trus pesen dan mau bayar malah tulisannya, kota gak support. pdhl deket jg. buang2 waktu aja. aneh gjls",1,0.0,0.0,Negative,22,0,4
"kenapa appl my super indo punya saya ada ""mencari toko terdekat"", ya??? 😔🥲🥲🥲🥲",4,0.3333333333333333,0.6666666666666666,Positive,13,0,6
tolong di perbaiki mau cekout ga bisa,4,0.0,0.0,Positive,7,0,0
"mencari toko terdekat terus ,,lama jadi gk bisa di buka app nya ,,,,😔",3,0.0,0.0,Neutral,13,0,6
pelayanan baik,5,0.0,0.0,Positive,2,0,0
top bngt,5,0.5,0.5,Positive,2,0,0
Aplikasi error layar full item doang udah di refresh di uninstall install berkali kali kaga jelas sakjiw,1,0.35,0.55,Negative,17,1,0
digital stickernya ilang semua jadi 0 setelah update aplikasi😞,2,0.0,0.0,Negative,9,0,0
"udah bayar kok sistem masih sebut menunggu, mana transfer balik lama!!!!",1,0.0,0.0,Negative,11,0,5
"aplikasi nya gabisa di buka, cuman layar putih aja. apaan lah nyesel download.",1,0.0,0.0,Negative,13,0,3
"Aplikasi aneh, pesen online katanya city not supported. pdhl di semarang kota. dan cabang yg online ada 8. uninstall",1,0.0,0.0,Negative,19,1,4
tiap mau co ga bisa alasan kota tidak di temukan padahal gw di kota bogor,1,0.0,0.0,Negative,15,0,0
"super indo bagus, kondusif, dg segala macam bahan dan makanan yang dibutuhkan.",5,0.3333333333333333,0.6666666666666666,Positive,12,0,3
"update terus aplikasinya k,lama di buka,sudah di update malah tidak bisa di buka,tolong di perbaiki sistem nya, terimakasih",4,0.0,0.0,Positive,18,0,4
bagus sekali,5,0.0,0.0,Positive,2,0,0
Bikin susah aja di update model apa ini.... Sumpah gw delete,1,0.0,0.0,Negative,11,2,4
Pokoknya OK,4,0.5,0.5,Positive,2,3,0
ok,5,0.5,0.5,Positive,1,0,0
"saya ga suka dengan ketidakjujuran pegawainya dah ditulis ikan harga diskon malah tetap dihargain normal, sekarang juga harga lbh mahal dari lotte grosir, padahal saya pelanggan setia belasan tahun, stiap bulan 6-8jt belanja, kecewa banget",2,0.15,0.6499999999999999,Negative,35,0,5
pertama kali beli online kecewa karena telat ngajuin refund. ga ngeh kalau ada barang yg ga ada. Terus punya sticker ga bisa di tuker karena barangnya habis dimana2. apa gunanya diperpanjang?,1,0.0,0.0,Negative,31,1,4
mau mesen tapi aplikasi error mulu,1,0.0,0.0,Negative,6,0,0
sangat bermanfaat,5,0.0,0.0,Positive,2,0,0
selalu puas belanja di my superindo,5,0.0,0.0,Positive,6,0,0
untuk layanan pengambilan dalam bentuk karton smoga lebih cepat ya supaya gk nunggu lama,5,0.0,0.0,Positive,14,0,0
sangat bagus,5,0.0,0.0,Positive,2,0,0
memuaskan,5,0.0,0.0,Positive,1,0,0
"Kurang bijak mengadakan promo. ada perpanjangan waktu untuk tukar poin tp sejak 28/1, uda muter ke 4 superindo di DIY, pada bilang pisau kosong. Kalaupun ada, yg ada hanya yg 60 poin. Lebih baik daripada perpanjang masa penukaran tp BOHONG (barang gak ada) mending nukar online (spt thn lalu promo panci).",1,0.0,0.0,Negative,51,12,12
Belum pernah beli online tapi seneng karena suka dpt promo. Apalagi daging yg fresh,5,0.3,0.5,Positive,14,2,1
"sdh lama apliasi tdk bs digunakan buat belanja online, munculnya kota tidak mendukung. padahal dulu bisa skrg tidak bs dgn alasan yg aneh, superindo cibubur jaraknya hanya 2km dr rmh. sdh install ulang berkali2 msh sama tdk bs dipake belanja online skrg",1,0.0,0.0,Negative,42,0,4
"mau tukar stiker 25 pcs tpi stok gunting habis semua, jadi utk apa kumpulin stiker ini klo gak bisa di tukar,, disuruh tukar yg lain + nambah uang 😭 marketing nya payah",2,0.0,0.0,Negative,32,0,4
"kenapa sudah berhari"" aplikasi ya tidak bisa di buka? tolong di bantu",1,0.0,0.0,Negative,12,0,2
belanja disuperindo komplit dan murah.,5,0.0,0.0,Positive,5,0,1
"kebutuhan rumah tangga lengkap disini, ada banyak promo dan discount",5,0.0,0.0,Positive,10,0,1
"tolong dong aku baru pertama install malah blank layar full hitam mana lemot bgt terus aku kira hp aku yang nge hank ternyata aku coba dihp lain sama aja,tolongg banget sayang banget produk bagus' tapi buat aplikasi aja zonk bgt",1,0.175,0.275,Negative,40,0,2
"Suruh bikin member, setelah poin terkumpul mau di tukarkan, brg ny selalu kosong",1,0.0,0.0,Negative,13,1,2
sangat mudah aplikasi ini sangat membantu. cuma sangat disayangkan pelayanan kasir superindo pakelan magelang tidak ramah lelet dan buruk pelayanannya,5,0.0,0.0,Positive,20,0,1
"Untuk Superindo Pasar Rebo sangat buruk, karena pesanan dinproses sangat lama, padahal sudah dibayarkan sejak 2 jam daru i pemesanan. pelayananya sangat buruk. tidak ada fitur chat antara penjual dan pembeli sehingga komunikasi tidak dapat dilakukan. Buruk sekali layanan superindo",1,0.0,0.0,Negative,40,5,5
belanja jadi lebih mudah dan murah karna banyak promo nya,4,0.0,0.0,Positive,10,0,0
"kenapa gak pernah bisa pake layanan belanja onlinenya sih. Pasti selalu muncul ""code 127 city not supported"" padahal superindo yg deket rumah ngelayanin yg online ini dari aplikasi. Update udah, clear chache udah, forced closed juga udah, tetep aja error gitu",1,-0.10000000000000002,0.22777777777777775,Negative,41,2,7
"Baru liatin komen after belanja online, salah bgt sih! Soalnya yang aku alamin sama bgt sama semua komentar2 nya. Tadinya percaya aja karna sekelas super indo ya kali pelayanan nya buruk? Apalagi kalo belanja offline tuh enak bgt, harga juga ga beda jauh sama di pasar tradisional. Tapi ternyata belanja online nya ZONK bgt. Pengiriman lama bgt, 3 jam ga nyampe2 padahal store nya deket. Dan parahnya lagi di apps ngga bisa tracking apa2! Kapok deh ga lagi2!",2,0.5208333333333333,0.6666666666666666,Negative,78,12,11
Sangat Menganggumkan.,5,0.0,0.0,Positive,2,2,1
untuk pembelian daging dan ikan jarang ada diskon,3,0.0,0.0,Neutral,8,0,0
Kok udah gak bisa yang ambil barang di toko ya,3,0.0,0.0,Neutral,10,1,0
sangat membantu karena menyediakan layanan delivery.,5,0.0,0.0,Positive,6,0,1
banyak untung nya jadi member superindo,5,0.0,0.0,Positive,6,0,0
pelayanan baik,5,0.0,0.0,Positive,2,0,0
Selalu loading dan tidak muncul gambar saat diakses padahal akses wifi atau data seluler semua baik. Aplikasi sudah update. Mohon diperbaiki,3,0.0,0.0,Neutral,21,3,2
its good,5,0.7,0.6000000000000001,Positive,2,0,0
apa banget aplikasinya cuman blank doang putih buat apa dibikin aplikasi aku tanya ? aku nunggu ampe 10 menit putih aja terus layarnya gaada apa apanya benerin gaa kesel bangettt ya tuhan 😭,1,0.0,0.0,Negative,33,0,1
harga lebih murah dan banyak promonya,5,0.0,0.0,Positive,6,0,0
good application,5,0.7,0.6000000000000001,Positive,2,0,0
saya suka belanja di super indo karena buahnya segar dan bagus terimakasih Superindo dan iklan nya dan pelayanan nya ramah sopan dan baik terimakasih ya,5,0.3333333333333333,0.6666666666666666,Positive,25,1,0
"min notifikasi masuk tapi aplikasinya yg baru ngga bisa dibuka, udah seminggu an ini min",4,0.0,0.0,Positive,15,0,1
"ada 2 superindo baru buka dan bs berbelanja online semua, giliran mau di pake aplikasi nya semua eror, udh uninstall mah jg eror, udh ganti semua toko masih jg eror, bingung sendiri pakai aplikasi ini, hadehh kmren2 belanja online di basilika bs trs skrg gak bs sm sekali!",1,0.0,0.0,Negative,48,0,6
ok,5,0.5,0.5,Positive,1,0,0
lengkap dan nyaman tempat nya,5,0.0,0.0,Positive,5,0,0
belanja segar berkualitas,5,0.0,0.0,Positive,3,0,0
joss jiss,5,0.0,0.0,Positive,2,0,0
good & exelent,5,0.7,0.6000000000000001,Positive,3,0,1
mudah untuk cek produk & promo,5,0.0,0.0,Positive,6,0,1
sangat memudahkan sekali bagi saya untuk belanja lebih dekat dan sangat lengkap,5,0.0,0.0,Positive,12,0,0
belanja dengan segala kemudahan,5,0.0,0.0,Positive,4,0,0
Saran ajah kalo abis belanja scan member dapat poin,3,0.0,0.0,Neutral,9,1,0
Awesome application.,5,1.0,1.0,Positive,2,1,1
habis diperbarui malah gak bisa di buka aplikasinya,2,0.0,0.0,Negative,8,0,0
bagus dan satset aplikasinya juga engga error.,5,0.0,0.0,Positive,7,0,1
good,5,0.7,0.6000000000000001,Positive,1,0,0
sangat membantu,5,0.0,0.0,Positive,2,0,0
bagus. bisa digunakan untuk mengecek promo yang berlaku pada rentang waktu tertentu.,5,0.0,0.0,Positive,12,0,2
"yang disuka pelayanan nya, is the best, pokoknya",5,1.0,0.3,Positive,8,0,2
"Baik, cuma untuk pilihan metode pembayaran blm lgkp.. tks",5,0.0,0.0,Positive,9,1,3
"belanja di superindo mudah, luas dan banyak promonya, ak juga senang jadi membernya",5,0.0,0.0,Positive,13,0,2
oke sekali aplikasinya,5,0.0,0.0,Positive,3,0,0
"memudahkan belanjaa yg dibutuhkan, cepat dan CSnya juga oke pelayanannya khususnya yg di kota cimahi.",5,0.0,0.0,Positive,15,2,2
penataan item rapi dan memudahkan memilihnya.,4,0.0,0.0,Positive,6,0,1
👍👍👍,5,0.0,0.0,Positive,1,0,0
so far so ghood,5,0.1,1.0,Positive,4,0,0
"awalnya saya suka menjadi member tapi setelah kejadian dibasura penukaran point, bertele-tele dan membuat customer menunggu berjam parahnya saat sdh menunggu hadiah tdk ada, dan dijanjikan besok kembali tapi ternyata zonk pdhal batas point sdh hbs hati itu. managernya tdk Beretitud 😡",2,0.0,0.0,Negative,42,1,4
Superindo istirahat the best,5,1.0,0.3,Positive,4,1,0
harga menurut ku agak murah..ada pelayanan belanja online juga jd memudah kan sekali..terima kasih superindooo,5,0.0,0.0,Positive,15,0,4
"Superindo Ujung berung sama yg diantapani bandung trmpatnya sangat nyaman, productnya lengkap dan fresh...",5,0.3,0.5,Positive,14,2,4
aplikasi ini sangat membantu customer dpt info update produk anda promo,5,0.0,0.0,Positive,11,0,0
superindo murce..klw bisa sll adakan NPWP nya susu milo dong pasti sy borong trs,5,0.0,0.0,Positive,14,4,2
aplikasi yang mudah dijangkau,5,0.0,0.0,Positive,4,0,0
banyak promonya,5,0.0,0.0,Positive,2,0,0
"suasananya menyenangkan, barangnya lengkap dan fresh",5,0.3,0.5,Positive,6,0,1
"saya belanja bayar pake VA sudah berhasil tapi di aplikasi blm masuk pembayaran alhasil pesanan kadaluwarsa. tp uang saya ga balik, sudah hub CS tp ga ada respon, mana lumayan nominalnya. coba tlg di perbaiki lagi pelayanan online nya",5,0.0,0.0,Positive,39,4,4
good tempat belanja yang rekomended sekali banyak promo nya juga harga murah murah,5,0.7,0.6000000000000001,Positive,13,0,0
menyenangkan belanja di aplikasi ini,5,0.0,0.0,Positive,5,0,0
