content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentiment_polarity,sentiment_subjective,wordCount,uppercaseCharCount,specialCharCount,sentiment_rating,tokens,final_tokens,clean_text,polarity_clean,sentiment_clean
gimana cara ajukan pengembalian dana nya pesanan udah di batalin dana belum juga di kirim,1,0,21.00.000,2026-03-19 15:20:12,,,0.0,0.0,15,0,0,Negative,"['gimana', 'aju', 'kembali', 'dana', 'pesan', 'udah', 'batalin', 'dana', 'kirim']","['gimana', 'aju', 'kembali', 'dana', 'pesan', 'udah', 'batalin', 'dana', 'kirim']",gimana aju kembali dana pesan udah batalin dana kirim,0.0,Neutral
ga bisa pesan antar harus ambil di toko trus buat apa kalian bikin aplikasi ini astagaaaaaa.... ya mending saya langsung ke toko ini mah,1,0,21.00.000,2026-03-19 09:57:42,,,0.0,0.0,24,0,4,Negative,"['pesan', 'ambil', 'toko', 'trus', 'bikin', 'astagaaaaaa', 'mending', 'langsung', 'toko', 'mah']","['pesan', 'ambil', 'toko', 'trus', 'bikin', 'mending', 'langsung', 'toko', 'mah']",pesan ambil toko trus bikin mending langsung toko mah,0.0,Neutral
"ngelag parah, pas refresh malah ilang semua. harus ditambahkan lagi, terus update produk habis tidak realtime",1,0,21.00.000,2026-03-19 00:16:04,,,0.0,0.0,16,0,3,Negative,"['ngelag', 'parah', 'pas', 'refresh', 'ilang', 'produk', 'habis', 'realtime']","['ngelag', 'parah', 'pas', 'refresh', 'ilang', 'produk', 'habis']",ngelag parah pas refresh ilang produk habis,0.0,Neutral
cukup lengkap,5,0,20.03.000,2026-03-18 20:50:09,,,0.0,0.0,2,0,0,Positive,['lengkap'],['lengkap'],lengkap,0.0,Neutral
"aplikasi ga bisa di buka, parah!",1,0,,2026-03-17 23:53:14,,,0.0,0.0,6,0,2,Negative,"['buka', 'parah']",['parah'],parah,0.0,Neutral
"belanja di superindo cilacap, masukin nomer hp member, tapi ga dpt digital stiker. padahal belanja nya 700rb haha lucu deh",2,0,21.00.000,2026-03-17 14:23:30,,,0.1,0.15,20,0,3,Negative,"['belanja', 'cilacap', 'masukin', 'nomer', 'hp', 'member', 'dpt', 'digital', 'stiker', 'belanja', 'rb', 'haha', 'lucu']","['cilacap', 'masukin', 'nomer', 'hp', 'member', 'dpt', 'digital', 'stiker', 'rb', 'haha', 'lucu']",cilacap masukin nomer hp member dpt digital stiker rb haha lucu,0.1,Positive
mudah murah dekat lengkap,5,0,,2026-03-17 10:25:32,,,0.0,0.0,4,0,0,Positive,"['mudah', 'murah', 'lengkap']","['mudah', 'murah', 'lengkap']",mudah murah lengkap,0.0,Neutral
Good,5,0,20.03.000,2026-03-17 07:07:54,,,0.7,0.6000000000000001,1,1,0,Positive,['good'],['good'],good,0.7,Positive
"aplikasi apaan sih ini, setiap mau di pake harus di update",4,0,20.02.000,2026-03-16 22:48:51,,,0.0,0.0,11,0,1,Positive,['pake'],['pake'],pake,0.0,Neutral
setiap bulan selalu belanja bulanan yg paling sedih nggak punya Member...p,5,0,,2026-03-16 18:38:54,,,0.0,0.0,11,1,3,Positive,"['belanja', 'bulan', 'sedih', 'nggak', 'member', 'p']","['bulan', 'sedih', 'nggak', 'member', 'p']",bulan sedih nggak member p,0.0,Neutral
"habis di update, semua gambar dalam aikasi tidak bisa di lihat ..",1,0,21.00.000,2026-03-16 10:25:43,,,0.0,0.0,12,0,3,Negative,"['habis', 'gambar', 'aikasi', 'lihat']","['habis', 'gambar', 'lihat']",habis gambar lihat,0.0,Neutral
ok,5,0,,2026-03-16 10:10:03,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
banyak promonya dong,5,0,,2026-03-16 08:42:11,,,0.0,0.0,3,0,0,Positive,['promonya'],['promonya'],promonya,0.0,Neutral
selalu lengkap dan segar,5,0,20.03.000,2026-03-15 14:40:21,,,0.0,0.0,4,0,0,Positive,"['lengkap', 'segar']","['lengkap', 'segar']",lengkap segar,0.0,Neutral
"uda Belanja banyak2 Kumpulin stiker capek2. pas mau tuker hadiah nya, malah persediaan uda abis. Padahal waktu penukaran masih lama",1,0,21.00.000,2026-03-15 11:36:14,,,0.0,0.0,20,3,3,Negative,"['uda', 'belanja', 'kumpulin', 'stiker', 'capek', 'pas', 'tuker', 'hadiah', 'sedia', 'uda', 'abis', 'tukar']","['uda', 'kumpulin', 'stiker', 'capek', 'pas', 'tuker', 'hadiah', 'sedia', 'uda', 'abis', 'tukar']",uda kumpulin stiker capek pas tuker hadiah sedia uda abis tukar,0.0,Neutral
josss,5,0,21.00.000,2026-03-15 10:18:29,,,0.0,0.0,1,0,0,Positive,['josss'],['josss'],josss,0.0,Neutral
baik,4,0,20.03.000,2026-03-15 05:58:18,,,0.0,0.0,1,0,0,Positive,[],[],,0.0,Neutral
"harga bener2murah, dibawah harga toko2lain. barang tertata rapi memudahkan konsumen mencari barang yg dibeli",5,0,20.03.000,2026-03-15 05:58:12,,,0.0,0.0,14,0,2,Positive,"['harga', 'bener', 'murah', 'bawah', 'harga', 'toko', 'barang', 'tata', 'rapi', 'mudah', 'konsumen', 'cari', 'barang', 'beli']","['bener', 'murah', 'bawah', 'toko', 'tata', 'rapi', 'mudah', 'konsumen', 'cari', 'beli']",bener murah bawah toko tata rapi mudah konsumen cari beli,0.0,Neutral
"barang komplit dan murah, good",5,0,20.03.000,2026-03-15 00:57:34,,,0.7,0.6000000000000001,5,0,1,Positive,"['barang', 'komplit', 'murah', 'good']","['komplit', 'murah', 'good']",komplit murah good,0.7,Positive
update teroz ngalah2in mbankingnya bca,1,0,20.03.000,2026-03-14 20:19:34,,,0.0,0.0,5,0,0,Negative,"['teroz', 'ngalah', 'in', 'mbankingnya', 'bca']",['in'],in,0.0,Neutral
"untuk belanja off line memuaskan, karena barang lengkap dan fresh tapi pengalaman belanja online agak mengecewakan karena pesan dari pagi, sore baru diantar.",2,0,,2026-03-14 19:20:39,,,0.3,0.5,23,0,3,Negative,"['belanja', 'off', 'line', 'muas', 'barang', 'lengkap', 'fresh', 'alam', 'belanja', 'online', 'kecewa', 'pesan', 'pagi', 'sore', 'antar']","['off', 'line', 'muas', 'lengkap', 'fresh', 'alam', 'online', 'kecewa', 'pesan', 'pagi', 'sore', 'antar']",off line muas lengkap fresh alam online kecewa pesan pagi sore antar,0.3,Positive
"Notifikasi ganggu, dan jelek suara notifnya mending saya nonaktifin aja",1,0,21.00.000,2026-03-14 14:06:59,,,0.0,0.0,10,1,1,Negative,"['notifikasi', 'ganggu', 'jelek', 'suara', 'notifnya', 'mending', 'nonaktifin']","['notifikasi', 'ganggu', 'jelek', 'suara', 'notifnya', 'mending']",notifikasi ganggu jelek suara notifnya mending,0.0,Neutral
mantap hemat kuat dan cepat,5,0,21.00.000,2026-03-14 03:51:56,,,0.0,0.0,5,0,0,Positive,"['mantap', 'hemat', 'kuat', 'cepat']","['mantap', 'hemat', 'cepat']",mantap hemat cepat,0.0,Neutral
sudah diupgrade tapi gak bisa dibuka,4,0,21.00.000,2026-03-13 21:56:13,,,0.0,0.0,6,0,0,Positive,"['diupgrade', 'buka']",['diupgrade'],diupgrade,0.0,Neutral
aplikasi nya eror mulu,1,0,,2026-03-13 14:06:20,,,0.0,0.0,4,0,0,Negative,"['eror', 'mulu']","['eror', 'mulu']",eror mulu,0.0,Neutral
bagus,5,0,21.00.000,2026-03-13 10:52:19,,,0.0,0.0,1,0,0,Positive,['bagus'],[],,0.0,Neutral
baik,5,0,,2026-03-13 08:19:21,,,0.0,0.0,1,0,0,Positive,[],[],,0.0,Neutral
keren,5,0,,2026-03-13 08:10:57,,,0.0,0.0,1,0,0,Positive,['keren'],['keren'],keren,0.0,Neutral
belanja kebutuhan sehari hari pasti lebih murah dan lebih untung pakai this aplikasi my Super indo apalagi saat Ramadhan dan Lebaran dan acara kumoul kumpul dan Natal dan Tahun Baru serta keagamaan lainnya pastinya lebih murah disini aja dimana sih ya di My Super Indo recomended aplikasi and tray this aplikasi good price kk,5,5,21.00.000,2026-03-13 08:09:00,,,0.45555555555555555,0.6444444444444445,54,9,0,Positive,"['belanja', 'butuh', 'hari', 'murah', 'untung', 'pakai', 'this', 'my', 'super', 'indo', 'ramadhan', 'lebaran', 'acara', 'kumoul', 'kumpul', 'natal', 'agama', 'pasti', 'murah', 'mana', 'my', 'super', 'indo', 'recomended', 'and', 'tray', 'this', 'good', 'price', 'kk']","['butuh', 'hari', 'murah', 'untung', 'pakai', 'this', 'my', 'indo', 'ramadhan', 'acara', 'kumpul', 'pasti', 'murah', 'mana', 'my', 'indo', 'recomended', 'and', 'this', 'good', 'price', 'kk']",butuh hari murah untung pakai this my indo ramadhan acara kumpul pasti murah mana my indo recomended and this good price kk,0.7,Positive
"informatif dan memudahkan kalau mau belanja tapi belum sempet, tinggal klik klik belanjaan sampe rumah. atauuu bisa juga buat cek cek diskonan kalo pas mau belanja bund biar budgeting lebih aman hehehe. goodjob superindoo👍🏻",5,3,20.03.000,2026-03-12 18:58:25,,,0.0,0.0,34,0,3,Positive,"['informatif', 'mudah', 'belanja', 'sempet', 'tinggal', 'klik', 'klik', 'belanja', 'sampe', 'rumah', 'atauuu', 'cek', 'cek', 'diskon', 'pas', 'belanja', 'bund', 'biar', 'budgeting', 'aman', 'hehehe', 'goodjob', 'superindoo']","['informatif', 'mudah', 'sempet', 'tinggal', 'klik', 'klik', 'sampe', 'rumah', 'cek', 'cek', 'diskon', 'pas', 'biar', 'budgeting', 'aman', 'hehehe', 'goodjob', 'superindoo']",informatif mudah sempet tinggal klik klik sampe rumah cek cek diskon pas biar budgeting aman hehehe goodjob superindoo,0.0,Neutral
bagus,5,0,15.04.000,2026-03-12 16:16:14,,,0.0,0.0,1,0,0,Positive,['bagus'],[],,0.0,Neutral
Belanja di Superindo nyaman pool gais,5,0,20.03.000,2026-03-12 14:06:01,,,0.0,0.0,6,2,0,Positive,"['belanja', 'nyaman', 'pool', 'gais']","['nyaman', 'gais']",nyaman gais,0.0,Neutral
lengkap,5,0,20.03.000,2026-03-12 13:17:21,,,0.0,0.0,1,0,0,Positive,['lengkap'],['lengkap'],lengkap,0.0,Neutral
bisa dapet diskon belanja. dapet info barang2 promo,5,0,20.03.000,2026-03-12 11:07:25,,,0.0,0.0,8,0,1,Positive,"['dapet', 'diskon', 'belanja', 'dapet', 'info', 'barang', 'promo']","['dapet', 'diskon', 'dapet', 'info']",dapet diskon dapet info,0.0,Neutral
kenapa aplikasi sering error,4,0,21.00.000,2026-03-12 10:09:54,,,0.0,0.0,4,0,0,Positive,['error'],['error'],error,0.0,Neutral
belanja disuperindo lengkap dan nyaman t4 nya,5,0,21.00.000,2026-03-12 09:08:43,,,0.0,0.0,7,0,0,Positive,"['belanja', 'disuperindo', 'lengkap', 'nyaman', 't']","['disuperindo', 'lengkap', 'nyaman', 't']",disuperindo lengkap nyaman t,0.0,Neutral
sangat membantu cek promo,5,0,20.03.000,2026-03-12 08:37:28,,,0.0,0.0,4,0,0,Positive,"['bantu', 'cek', 'promo']","['bantu', 'cek']",bantu cek,0.0,Neutral
"aplikasi sering pembaruan ,semakin lemot",2,0,20.03.000,2026-03-12 08:34:19,,,0.0,0.0,5,0,1,Negative,"['baru', 'lot']","['baru', 'lot']",baru lot,0.0,Neutral
ok,5,0,20.03.000,2026-03-12 08:15:43,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
informatif,5,0,20.03.000,2026-03-12 07:10:10,,,0.0,0.0,1,0,0,Positive,['informatif'],['informatif'],informatif,0.0,Neutral
Hanya untuk tau informasi yg lagi diskon sama buat scan barcode aja,4,0,20.03.000,2026-03-12 04:19:09,,,0.0,0.0,12,1,0,Positive,"['tau', 'informasi', 'diskon', 'scan', 'barcode']","['tau', 'informasi', 'diskon', 'scan', 'barcode']",tau informasi diskon scan barcode,0.0,Neutral
ok,5,0,20.03.000,2026-03-11 17:53:16,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
sangat meyenskan dan barang selalu fres,5,0,20.03.000,2026-03-11 16:07:18,,,0.0,0.0,6,0,0,Positive,"['meyenskan', 'barang', 'fres']",['fres'],fres,0.0,Neutral
suka jadi tau banyak promo,5,0,21.00.000,2026-03-11 15:17:46,,,0.0,0.0,5,0,0,Positive,"['suka', 'tau', 'promo']","['suka', 'tau']",suka tau,0.0,Neutral
"memudahkan biar tau ada promo apa aja.cuma syang ada superindo yg d kejaksan kasir judes,dan dah 2x kya gtu tdny mau antri d kasir sblh d suruh pindah k dia pas giliran dah k dia eh malah d suruh pindah lagi k sblh ktny eror hrsny d cek dulu ya.ga kaya superindo kesambi enak ramah2.krna sya blnja tuh sering bngt...",4,0,21.00.000,2026-03-11 14:30:10,,,0.0,0.0,60,0,7,Positive,"['mudah', 'biar', 'tau', 'promo', 'syang', 'd', 'kejaksan', 'kasir', 'judes', 'dah', 'x', 'kya', 'gtu', 'tdny', 'antri', 'd', 'kasir', 'sblh', 'd', 'suruh', 'pindah', 'k', 'pas', 'gilir', 'dah', 'k', 'eh', 'd', 'suruh', 'pindah', 'k', 'sblh', 'ktny', 'eror', 'hrsny', 'd', 'cek', 'kaya', 'kesambi', 'enak', 'ramah', 'krna', 'sya', 'blnja', 'tuh', 'bngt']","['mudah', 'biar', 'tau', 'd', 'kasir', 'judes', 'dah', 'x', 'kya', 'gtu', 'antri', 'd', 'kasir', 'sblh', 'd', 'suruh', 'pindah', 'k', 'pas', 'gilir', 'dah', 'k', 'eh', 'd', 'suruh', 'pindah', 'k', 'sblh', 'eror', 'd', 'cek', 'kaya', 'kesambi', 'enak', 'ramah', 'krna', 'sya', 'blnja', 'tuh', 'bngt']",mudah biar tau d kasir judes dah x kya gtu antri d kasir sblh d suruh pindah k pas gilir dah k eh d suruh pindah k sblh eror d cek kaya kesambi enak ramah krna sya blnja tuh bngt,0.0,Neutral
mantab,5,0,20.03.000,2026-03-11 11:49:28,,,0.0,0.0,1,0,0,Positive,['mantab'],['mantab'],mantab,0.0,Neutral
baik,5,0,20.01.000,2026-03-11 09:57:08,,,0.0,0.0,1,0,0,Positive,[],[],,0.0,Neutral
sangat membantu,5,0,,2026-03-11 09:49:00,,,0.0,0.0,2,0,0,Positive,['bantu'],['bantu'],bantu,0.0,Neutral
kurang banyak catalog promo'a,4,0,20.03.000,2026-03-11 08:08:53,,,0.0,0.0,4,0,1,Positive,"['catalog', 'promo', 'a']","['catalog', 'a']",catalog a,0.0,Neutral
memuskan,5,0,20.03.000,2026-03-11 07:17:18,,,0.0,0.0,1,0,0,Positive,['mus'],['mus'],mus,0.0,Neutral
Good Service,5,0,20.03.000,2026-03-11 05:23:08,,,0.7,0.6000000000000001,2,2,0,Positive,"['good', 'service']","['good', 'service']",good service,0.7,Positive
senang belanja di Superindo karna harga bersaing dan mendapatkan poin berhadiah menarik,5,0,20.03.000,2026-03-11 05:04:57,,,0.0,0.0,12,1,0,Positive,"['senang', 'belanja', 'karna', 'harga', 'saing', 'poin', 'hadiah', 'tarik']","['senang', 'karna', 'saing', 'poin', 'hadiah', 'tarik']",senang karna saing poin hadiah tarik,0.0,Neutral
kurang lengkap daftar barangnya,4,0,20.03.000,2026-03-11 04:52:11,,,0.0,0.0,4,0,0,Positive,"['lengkap', 'daftar', 'barang']","['lengkap', 'daftar']",lengkap daftar,0.0,Neutral
ok,5,0,20.03.000,2026-03-11 02:47:50,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
good..,5,0,20.03.000,2026-03-10 20:34:16,,,0.7,0.6000000000000001,1,0,2,Positive,['good'],['good'],good,0.7,Positive
disebagian toko mbak dan mas nya ramah ada sebagian yg kurang ramah sebenernya asik belanja di superindo,4,0,20.03.000,2026-03-10 19:20:28,,,0.0,0.0,17,0,0,Positive,"['bagi', 'toko', 'mbak', 'mas', 'ramah', 'ramah', 'sebenernya', 'asik', 'belanja']","['bagi', 'toko', 'mbak', 'mas', 'ramah', 'ramah', 'sebenernya', 'asik']",bagi toko mbak mas ramah ramah sebenernya asik,0.0,Neutral
"Lebih dekat , lebih mudah harga lumayan murah 🙏",5,0,20.03.000,2026-03-10 17:28:41,,,0.0,0.0,9,1,1,Positive,"['mudah', 'harga', 'lumayan', 'murah']","['mudah', 'lumayan', 'murah']",mudah lumayan murah,0.0,Neutral
selalu puas belanja di sini.,5,0,20.03.000,2026-03-10 15:44:53,,,0.0,0.0,5,0,1,Positive,"['puas', 'belanja']",['puas'],puas,0.0,Neutral
senang belanja di My Super Indo karyawannya ramah2&baik2,5,0,20.03.000,2026-03-10 14:29:37,,,0.3333333333333333,0.6666666666666666,8,3,1,Positive,"['senang', 'belanja', 'my', 'super', 'indo', 'karyawannya', 'ramah']","['senang', 'my', 'indo', 'karyawannya', 'ramah']",senang my indo karyawannya ramah,0.0,Neutral
ok,5,0,20.03.000,2026-03-10 11:14:07,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
Info diskon terupdate,5,0,20.03.000,2026-03-10 10:32:07,,,0.0,0.0,3,1,0,Positive,"['info', 'diskon', 'terupdate']","['info', 'diskon', 'terupdate']",info diskon terupdate,0.0,Neutral
good job,5,0,20.03.000,2026-03-10 10:29:41,,,0.7,0.6000000000000001,2,0,0,Positive,"['good', 'job']","['good', 'job']",good job,0.7,Positive
kenapa selalu minta update?,1,0,21.00.000,2026-03-10 09:41:40,,,0.0,0.0,4,0,1,Negative,[],[],,0.0,Neutral
"Belanja mudah, karyawan ramah, barang super hemat.",5,0,21.00.000,2026-03-10 09:39:21,,,0.3333333333333333,0.6666666666666666,7,1,3,Positive,"['belanja', 'mudah', 'karyawan', 'ramah', 'barang', 'super', 'hemat']","['mudah', 'karyawan', 'ramah', 'hemat']",mudah karyawan ramah hemat,0.0,Neutral
Barang lengkap dan belanja nyaman,5,0,20.03.000,2026-03-10 09:33:25,,,0.0,0.0,5,1,0,Positive,"['barang', 'lengkap', 'belanja', 'nyaman']","['lengkap', 'nyaman']",lengkap nyaman,0.0,Neutral
kereen,5,0,20.03.000,2026-03-10 09:04:31,,,0.0,0.0,1,0,0,Positive,['kereen'],['kereen'],kereen,0.0,Neutral
harga promo selalu menggoda untuk segera ke Superindo🤗,5,0,,2026-03-10 08:39:13,,,0.0,0.0,8,1,0,Positive,"['harga', 'promo', 'goda']",['goda'],goda,0.0,Neutral
layanan pengaduan konsumen nya engga ada. chatnya engga bisa dipake. tidak ada nomor kontak untuk pengaduan keluhan konsumen,1,0,21.00.000,2026-03-10 08:37:59,,,0.0,0.0,18,0,2,Negative,"['layan', 'adu', 'konsumen', 'engga', 'chatnya', 'engga', 'dipake', 'nomor', 'kontak', 'adu', 'keluh', 'konsumen']","['adu', 'konsumen', 'engga', 'chatnya', 'engga', 'dipake', 'nomor', 'kontak', 'adu', 'keluh', 'konsumen']",adu konsumen engga chatnya engga dipake nomor kontak adu keluh konsumen,0.0,Neutral
"Paling favorit belanja disini, nyaman, pelayanan ramah, lumayan lengkap, berkualitas dan sering diskon.",5,0,20.03.000,2026-03-10 08:10:06,,,0.0,0.0,13,1,5,Positive,"['favorit', 'belanja', 'nyaman', 'layan', 'ramah', 'lumayan', 'lengkap', 'kualitas', 'diskon']","['favorit', 'nyaman', 'ramah', 'lumayan', 'lengkap', 'kualitas', 'diskon']",favorit nyaman ramah lumayan lengkap kualitas diskon,0.0,Neutral
baik,4,0,21.00.000,2026-03-10 07:36:26,,,0.0,0.0,1,0,0,Positive,[],[],,0.0,Neutral
di update malah makin ndak bisa di buka ini gimana ya?,3,0,21.00.000,2026-03-10 07:35:52,,,0.0,0.0,11,0,1,Neutral,"['ndak', 'buka', 'gimana']","['ndak', 'gimana']",ndak gimana,0.0,Neutral
"tempat belanja yg menyenangkan bersih,lengkap dan banyak promo menarik",5,0,,2026-03-10 07:35:20,,,0.0,0.0,9,0,1,Positive,"['belanja', 'senang', 'bersih', 'lengkap', 'promo', 'tarik']","['senang', 'bersih', 'lengkap', 'tarik']",senang bersih lengkap tarik,0.0,Neutral
"nyaman, ramah dan murah bersih",5,0,20.03.000,2026-03-10 07:07:16,,,0.0,0.0,5,0,1,Positive,"['nyaman', 'ramah', 'murah', 'bersih']","['nyaman', 'ramah', 'murah', 'bersih']",nyaman ramah murah bersih,0.0,Neutral
sangat puas berbelanja di sini,5,0,20.03.000,2026-03-10 07:07:14,,,0.0,0.0,5,0,0,Positive,"['puas', 'belanja']",['puas'],puas,0.0,Neutral
oke siip,5,0,20.03.000,2026-03-10 07:06:55,,,0.0,0.0,2,0,0,Positive,"['oke', 'siip']","['oke', 'siip']",oke siip,0.0,Neutral
good,5,0,,2026-03-10 06:27:06,,,0.7,0.6000000000000001,1,0,0,Positive,['good'],['good'],good,0.7,Positive
bagus untuk info,5,0,20.03.000,2026-03-10 05:27:45,,,0.0,0.0,3,0,0,Positive,"['bagus', 'info']",['info'],info,0.0,Neutral
sangat membantu bagi ibu2 yg tdk bisa keluar rmh Krn ada bayi,5,0,20.03.000,2026-03-10 04:40:24,,,0.0,0.0,12,1,0,Positive,"['bantu', 'rmh', 'bayi']","['bantu', 'rmh', 'bayi']",bantu rmh bayi,0.0,Neutral
pegawainya ramah semua... soal harga masih terjangkau,5,0,20.03.000,2026-03-10 04:37:47,,,0.0,0.0,7,0,3,Positive,"['pegawai', 'ramah', 'harga', 'jangkau']","['pegawai', 'ramah', 'jangkau']",pegawai ramah jangkau,0.0,Neutral
untuk wilayah bogor semua okee.. tp knp untuk digital sticker ny hrs di riset yaaa pdhal kan simpen sj,5,0,,2026-03-10 02:39:32,,,0.0,0.0,19,0,2,Positive,"['wilayah', 'bogor', 'okee', 'knp', 'digital', 'sticker', 'ny', 'hrs', 'riset', 'yaaa', 'pdhal', 'simpen', 'sj']","['wilayah', 'bogor', 'okee', 'knp', 'digital', 'sticker', 'ny', 'hrs', 'riset', 'yaaa', 'pdhal', 'sj']",wilayah bogor okee knp digital sticker ny hrs riset yaaa pdhal sj,0.0,Neutral
ini kenapa di update malah gabisa ke buka,2,1,21.00.000,2026-03-09 23:15:28,,,0.0,0.0,8,0,0,Negative,"['gabisa', 'buka']",['gabisa'],gabisa,0.0,Neutral
Menyenangkan,5,0,20.03.000,2026-03-09 23:15:12,,,0.0,0.0,1,1,0,Positive,['senang'],['senang'],senang,0.0,Neutral
Pelayanan memuaskan👍,5,0,,2026-03-09 17:24:23,,,0.0,0.0,2,1,0,Positive,"['layan', 'muas']",['muas'],muas,0.0,Neutral
good aplikasi,5,0,,2026-03-09 16:47:54,,,0.7,0.6000000000000001,2,0,0,Positive,['good'],['good'],good,0.7,Positive
"Gak bisa digunakan utk pengantaran, selalu error tiap milih opsi pengantaran (grab/gosend) mohon diperbaiki 🙏🏻",5,1,21.00.000,2026-03-09 14:22:03,,,0.0,0.0,15,1,4,Positive,"['antar', 'error', 'milih', 'opsi', 'antar', 'grab', 'gosend', 'mohon', 'baik']","['antar', 'error', 'milih', 'opsi', 'antar', 'grab', 'gosend', 'mohon', 'baik']",antar error milih opsi antar grab gosend mohon baik,0.0,Neutral
"brengsek, ini belanjaan beli pagi dateng sore kelaperan gua, praktis apaan gada praktisnya",1,0,20.03.000,2026-03-09 10:28:43,,,0.0,0.0,13,0,2,Negative,"['brengsek', 'belanja', 'beli', 'pagi', 'dateng', 'sore', 'kelaperan', 'gua', 'praktis', 'gada', 'praktis']","['brengsek', 'beli', 'pagi', 'dateng', 'sore', 'gua', 'praktis', 'gada', 'praktis']",brengsek beli pagi dateng sore gua praktis gada praktis,0.0,Neutral
"kenapa ya harus bolak balik update, saya baru update tgl 1 Maret, skrg sudah minta update lagi ..",3,0,20.01.000,2026-03-08 21:38:58,,,0.0,0.0,18,1,4,Neutral,"['bolak', 'tgl', 'maret', 'skrg']","['bolak', 'tgl', 'maret', 'skrg']",bolak tgl maret skrg,0.0,Neutral
