content,score,sentiment_rating,emoticon_happy_emoticon,emoticon_sad_emoticon,emoticon_wink_emoticon,emoticon_love_emoticon,emoticon_emoji_smile,emoticon_emoji_sad,emoticon_emoji_angry,caps_count,url_count,email_count,hashtag_count,mention_count,complaint_technical_issues,complaint_quality_issues,complaint_missing_features,complaint_performance_issues,complaint_security_concerns,complaint_payment_issues,complaint_customer_service,complaint_total,is_complaint,review_type
"ngelag parah, pas refresh malah ilang semua. harus ditambahkan lagi, terus update produk habis tidak realtime",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
cukup lengkap,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"aplikasi ga bisa di buka, parah!",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"belanja di superindo cilacap, masukin nomer hp member, tapi ga dpt digital stiker. padahal belanja nya 700rb haha lucu deh",2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
mudah murah dekat lengkap,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Good,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"aplikasi apaan sih ini, setiap mau di pake harus di update",4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
setiap bulan selalu belanja bulanan yg paling sedih nggak punya Member...p,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"habis di update, semua gambar dalam aikasi tidak bisa di lihat ..",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,mixed
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
banyak promonya dong,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
selalu lengkap dan segar,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"uda Belanja banyak2 Kumpulin stiker capek2. pas mau tuker hadiah nya, malah persediaan uda abis. Padahal waktu penukaran masih lama",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
josss,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
baik,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"harga bener2murah, dibawah harga toko2lain. barang tertata rapi memudahkan konsumen mencari barang yg dibeli",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"barang komplit dan murah, good",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
update teroz ngalah2in mbankingnya bca,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
"untuk belanja off line memuaskan, karena barang lengkap dan fresh tapi pengalaman belanja online agak mengecewakan karena pesan dari pagi, sore baru diantar.",2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True,mixed
"Notifikasi ganggu, dan jelek suara notifnya mending saya nonaktifin aja",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,True,complaint
mantap hemat kuat dan cepat,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
sudah diupgrade tapi gak bisa dibuka,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,mixed
aplikasi nya eror mulu,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
bagus,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
baik,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
keren,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
belanja kebutuhan sehari hari pasti lebih murah dan lebih untung pakai this aplikasi my Super indo apalagi saat Ramadhan dan Lebaran dan acara kumoul kumpul dan Natal dan Tahun Baru serta keagamaan lainnya pastinya lebih murah disini aja dimana sih ya di My Super Indo recomended aplikasi and tray this aplikasi good price kk,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
"informatif dan memudahkan kalau mau belanja tapi belum sempet, tinggal klik klik belanjaan sampe rumah. atauuu bisa juga buat cek cek diskonan kalo pas mau belanja bund biar budgeting lebih aman hehehe. goodjob superindoo👍🏻",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,True,mixed
bagus,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
Belanja di Superindo nyaman pool gais,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
lengkap,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
bisa dapet diskon belanja. dapet info barang2 promo,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
kenapa aplikasi sering error,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,complaint
belanja disuperindo lengkap dan nyaman t4 nya,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
sangat membantu cek promo,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"aplikasi sering pembaruan ,semakin lemot",2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
informatif,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Hanya untuk tau informasi yg lagi diskon sama buat scan barcode aja,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,request
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
sangat meyenskan dan barang selalu fres,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
suka jadi tau banyak promo,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
"memudahkan biar tau ada promo apa aja.cuma syang ada superindo yg d kejaksan kasir judes,dan dah 2x kya gtu tdny mau antri d kasir sblh d suruh pindah k dia pas giliran dah k dia eh malah d suruh pindah lagi k sblh ktny eror hrsny d cek dulu ya.ga kaya superindo kesambi enak ramah2.krna sya blnja tuh sering bngt...",4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
mantab,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
baik,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
sangat membantu,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
kurang banyak catalog promo'a,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
memuskan,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Good Service,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
senang belanja di Superindo karna harga bersaing dan mendapatkan poin berhadiah menarik,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
kurang lengkap daftar barangnya,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
good..,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
disebagian toko mbak dan mas nya ramah ada sebagian yg kurang ramah sebenernya asik belanja di superindo,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
"Lebih dekat , lebih mudah harga lumayan murah 🙏",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
selalu puas belanja di sini.,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
senang belanja di My Super Indo karyawannya ramah2&baik2,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Info diskon terupdate,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
good job,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
kenapa selalu minta update?,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"Belanja mudah, karyawan ramah, barang super hemat.",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Barang lengkap dan belanja nyaman,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
kereen,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
harga promo selalu menggoda untuk segera ke Superindo🤗,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
layanan pengaduan konsumen nya engga ada. chatnya engga bisa dipake. tidak ada nomor kontak untuk pengaduan keluhan konsumen,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,True,mixed
"Paling favorit belanja disini, nyaman, pelayanan ramah, lumayan lengkap, berkualitas dan sering diskon.",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
baik,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
di update malah makin ndak bisa di buka ini gimana ya?,3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"tempat belanja yg menyenangkan bersih,lengkap dan banyak promo menarik",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"nyaman, ramah dan murah bersih",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
sangat puas berbelanja di sini,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
oke siip,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
good,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
bagus untuk info,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
sangat membantu bagi ibu2 yg tdk bisa keluar rmh Krn ada bayi,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
pegawainya ramah semua... soal harga masih terjangkau,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
untuk wilayah bogor semua okee.. tp knp untuk digital sticker ny hrs di riset yaaa pdhal kan simpen sj,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
ini kenapa di update malah gabisa ke buka,2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
Menyenangkan,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Pelayanan memuaskan👍,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
good aplikasi,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"Gak bisa digunakan utk pengantaran, selalu error tiap milih opsi pengantaran (grab/gosend) mohon diperbaiki 🙏🏻",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,True,mixed
"brengsek, ini belanjaan beli pagi dateng sore kelaperan gua, praktis apaan gada praktisnya",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"kenapa ya harus bolak balik update, saya baru update tgl 1 Maret, skrg sudah minta update lagi ..",3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"superindo cabang citra raya,cikupa kabupaten tangerang,spv nya yg kecil,tua pake kacamata itu bener"" tidak sopan terhadap customer,mentang"" saya pake promo shopepay slalu ga boleh nuker lebih dri 2 kadang malah cuma boleh 1 padahal harusnya maks 1hari itu 3 voucher tpi kenyataan nya slalu di persulit dan parah nya kondisi toko sepi pun haru antri 1voucher 1kasirr padahal sya jg sama"" belanja pake duit",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,True,other
harga promo brosur sama di aplikasi beda.. bikin kesel ihhh..,3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,request
tidak bisa di buka min,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,mixed
"kalo ga bisa optimalin online ga usah ada online beli online sampai ga ada barangnya terus lama bgt, ga praktis!",2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"pelayanan buruk, customer service jelek, saya pesan dari jam 7, sampai jam 9 tidak ada konfirmasi sudah diproses apa belum. tidak usah pakai aplikasi ini",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4,True,mixed
Good..,3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
puas belanja dsini dng harga yg murah,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"bintang 1 dulu lah, tiap belanja lewat apk pasti ada aja barang yg main dicancel apalagi yg promoan sama petugasnya, pas dicek padahal stocknya ada kalo stock abis harus nya sinkron sih yah sama apk, masa di apk stock banyak, tapi pas beli dicancel mulu, apa karna harga nya promo ? atau kalau mau dibeli sama anak toko, harusnya transaksi kan dulu dong jangan malah di keep doang",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,True,informational
notifikasinya sangat mengganggu,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"dengan menjadi member, tentunya bisa mendapatkan berbagai promo",4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
mantul,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
mayan Promonya 😁,5,Positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"mohon sediakan fitur chat sebagai penghubung antara customer dan cabang, sehingga ketika terjadi overload atau kendala lain, pihak cabang dapat memberikan konfirmasi ke customer. tambah kan juga fitur cancel order, agar ketika customer ingin membatalkan pesanan dapat mudah dilakukan. pengalaman menggunakan aplikasi ini cukup mengecewakan karena cabang sedang overload namun tidak ada konfirmasi apapun. rating akan diperbaiki jika fitur tersebut telah tersedia",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,True,mixed
untuk ongkir nya kemahalan blm bisa kaya a**a dan i*n******ma*t gk bisa di semua outlet juga,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"gimana sih, waktu pesan antar ada brang nya tiba-tiba di refund. sekarang waktu pengembalian dana dipersulit, kecewa",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True,mixed
"suka belanja di superindo krn lengkap daging,ikan rresh,ap lagi buah²nya super lengkap.security sm pegawai nya jg ramah² ...pertahankan/tingkatkan",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
dari minggu lalu aplikasinya tidak bisa di buka,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,mixed
"Pengiriman & proses ordernya lelet banget, gak kaya alfagift atau klik indomaret.. payah layanan customer handlingnya juga PARAH BANGET. Boro2 solusi, feedback pun gak ada!!!",1,Negative,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,True,mixed
"mau kasih saran ya.. bagaimana kalau ditambahkan fitur chat ke toko. jadi misal sudah checkout order, kita bisa chat ke tokonya di aplikasi. maaf seperti aplikasi alfagift.. bisa chat ke tokonya langsung. semoga saran saya bisa menjadi masukan untuk superindo. terima kasih",4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"saya suka belanja d superindo ubertos,belanja lbh hemat dan lengkap dan pelayanannya baik , securitynya cepat tanggap dlm membantu custamer..sukses slalu buat superindo",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
apk lemot,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
Maaf sekali ini harus segera di evaluasi ... niat nya pakai aplikasi agar tidak antri ... ini malah antri sampe 1jammm lebihhh .. sampe toko jam 5sorean.. sampe hampir jam stgh 7 juga belum kelar,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
God application,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
tolong app-nya di benerin sering eror akhir akhir ini kalau buka app muncul sambungan internet terputus / cari toko terdekat malah ga mau muncul,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,request
"ini aplikasi gmn si , saya tiap belanja selalu ditanya member dan memberikan no hp ,tp kenapa sticker tidak pernah masuk di aplikasi member ???",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
ok,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
belanja online lewat app superindo sangat tidak direkomendasi. 1. jika beli 1 kg yg diambilkan hanya 900 gr lebih sedikit bahkan tidak sampai 950gr. 2. di kasih note tidak akan dibaca!!! contoh: pilihkan yang besar isi sedikit tidak apa². yang datang kecil² banyak. terlalu kecil sampai tidak ada air dan dagingnya sedikit. 3. pesan pagi dikirim sore. 4. pembayaran sering gagal di app . sangat disayangkan berharap mendapat kemudahan dan praktis tapi dapatnya zonk . sangat mengecewakan.,2,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,True,mixed
"sdh di-update,, dibuka msh jg g bisa g tau tiba² gt,,knp yaa??? jd g bisa update harga",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"Tolong bisa update dan improve lebih bagus lagi, sekelas Indomaret/Alfamart aja di aplikasinya sudah ada self service atau pickup service. Ini tolong sekelas retail besar kayak Superindo bisa ikut kasih pilihan customer untuk pickup barangnya. jadi kami gak buang waktu untuk keliling store dulu dan datang bisa tinggal ambil barangnya aja, pelayannya tolong lebih ditingkatkan ya.",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
senang bersama My Super Indo terimah kasih,3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
banyak promo,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"abis diupdate, launch appnya makin lama 😩",3,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"tempat belanja favorit, murah Deket rumah",5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
di Adain sistem pembayaran cod nya ya admin kadang saldo kosong adanya uang cash terimakasih,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,True,other
"ini kenapa dah superindo, diupdate malah ga bisa dibuka, ga jelas bangettt",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
bagus,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,praise
selalu nunggu promo setiap bulan yg 50% ..jgn bnyak update apl kurangin iklannya menggagngu,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
aplikasi apa Aan ini gak bisa dipake,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,mixed
🌟🌟🌟🌟🌟,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
aneh apknya. gak banget tiap cari produk yang mau di beli ga ada semua,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
ini aplikasinya kenapa ya? klik menu ga muncul produknya. padahal mau beli lewat online tapi ga muncul produknya,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"sedih dehhh, knp stiap udh pilih product step berikutnya tggl pilih pengiriman,, sllu muncul tulisan muat data.. udh sebulan ini bgitu truus 🥹 tolong dibantu biar memudahkan yg ingin DO",3,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,request
kok ga bisa dibuka ya?,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
ngapain aplikasinya dibikin sih kalo gabisa pesen cepet scr online? nunggunya harus ber jam jam loh.,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
seru,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
"apa di kota malang tidak bisa belanja online ya? karena setiap mau ke halaman pembayaran selalu gagal, dan notifnya city not supported",2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,True,mixed
"kejadian berawal saat sy hendak mengambil belanjaan di SUPERINDO UJUNG ASPAL Bekasi,sy minta tolong sama security yg bernama pak sudra untuk mengangkat belanjaan berdua bersama sy karena berat tapi dijawabtdk mau,,,lalu saya jawab sy batalkan dan dijawab oleh security tsb batalkan saja dengan sombongnya,,,akhirnya sy minta tlg security yg lain langsung dibantu untuk mengangkat belanjaan tsb...sy mohon dengan sangat kepada management Superindo untuk membina security yg sombong layak seorang owner",1,Negative,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,True,request
ribet masuk akunnya susah,2,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
sekelas supeindo.aplikasinya jelek banget.muter2 lama kalo d buka.udah bisa masuk Mlah keluar sendiri.payah,1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True,mixed
"giliran udh bikin akun trus pesen dan mau bayar malah tulisannya, kota gak support. pdhl deket jg. buang2 waktu aja. aneh gjls",1,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,True,request
"kenapa appl my super indo punya saya ada ""mencari toko terdekat"", ya??? 😔🥲🥲🥲🥲",4,Positive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,informational
tolong di perbaiki mau cekout ga bisa,4,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
"mencari toko terdekat terus ,,lama jadi gk bisa di buka app nya ,,,,😔",3,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,mixed
pelayanan baik,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
top bngt,5,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,other
